Loading data from data\sign_mnist_train.npy ...
Loading data from data\sign_mnist_test.npy ...
Generating model graph visualization at results\20181219-070313\model ...

(dot.exe:30016): Pango-WARNING **: couldn't load font "Times Not-Rotated 10", falling back to "Sans Not-Rotated 10", expect ugly output.
Using CUDA!
===== HYPERPARAMETERS =====
batch_size= 32
epochs= 8
learning_rate= 0.001
==============================
[Test] Beginning with test with 225 batches
[Test] Test finished, loss: 3.22, acc: 0.02, time: 4.39s
[Train] Epoch 1, 10% 	 loss: 2.06, acc: 0.44, time: 3.98s
[Train] Epoch 1, 20% 	 loss: 0.66, acc: 0.84, time: 0.62s
[Train] Epoch 1, 30% 	 loss: 0.46, acc: 0.91, time: 0.66s
[Train] Epoch 1, 40% 	 loss: 0.36, acc: 0.91, time: 0.63s
[Train] Epoch 1, 50% 	 loss: 0.19, acc: 0.91, time: 0.63s
[Train] Epoch 1, 60% 	 loss: 0.15, acc: 0.97, time: 0.63s
[Train] Epoch 1, 70% 	 loss: 0.16, acc: 0.94, time: 0.61s
[Train] Epoch 1, 80% 	 loss: 0.09, acc: 0.94, time: 0.63s
[Train] Epoch 1, 90% 	 loss: 0.07, acc: 0.97, time: 0.62s
[Test] Beginning with test with 225 batches
[Test] Test finished, loss: 0.30, acc: 0.91, time: 3.60s
[Train] Epoch 2, 10% 	 loss: 0.14, acc: 0.94, time: 4.10s
[Train] Epoch 2, 20% 	 loss: 0.01, acc: 1.00, time: 0.69s
[Train] Epoch 2, 30% 	 loss: 0.01, acc: 1.00, time: 0.71s
[Train] Epoch 2, 40% 	 loss: 0.04, acc: 1.00, time: 0.68s
[Train] Epoch 2, 50% 	 loss: 0.04, acc: 1.00, time: 0.68s
[Train] Epoch 2, 60% 	 loss: 0.01, acc: 1.00, time: 0.69s
[Train] Epoch 2, 70% 	 loss: 0.04, acc: 1.00, time: 0.66s
[Train] Epoch 2, 80% 	 loss: 0.05, acc: 0.97, time: 0.64s
[Train] Epoch 2, 90% 	 loss: 0.15, acc: 0.97, time: 0.65s
[Test] Beginning with test with 225 batches
[Test] Test finished, loss: 0.14, acc: 0.97, time: 3.69s
[Train] Epoch 3, 10% 	 loss: 0.00, acc: 1.00, time: 4.44s
